buildings,production_method_groups,production_methods,type,required_construction,advancedores,aeroplanes,ai_systems,alloys,aluminium,ammunition,androids,artillery,automobiles,batteries,bauxite,business_data,civil_planes,clippers,clothes,coal,coffee,commonores,computer,copper,copperwires,cosmetics,dye,electricity,electroniccomponents,elgar_instruments,elgar_music,engines,explosives,fabric,fertilizer,fine_art,fish,fruit,furniture,gas,glass,global_electricity,gold,good_uranium,grain,groceries,hardwood,heavy_fuel,homeappliances,interactive_entertainment,iron,ironclads,lead,light_fuel,liquor,lubricant,luxury_clothes,luxury_furniture,manowars,manzoni_prints,meat,merchant_marine,oil,on_demand_goods,opium,organized_data,paper,pharmaceuticals,plastics,porcelain,processors,radios,rare_earths,raw_data,robotics,rubber,services,silk,small_arms,softwares,space_assets,steamers,steel,sugar,sulfur,tanks,tea,telecommunications,telephones,televisions,tobacco,tools,transportation,water,wine,wood
building_advancedores_mine,pmg_steam_automation_building_advancedores_mine,pm_steam_donkey_mine,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_steam_automation_building_advancedores_mine,pm_purification_mine_advancedores_mine,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_steam_automation_building_advancedores_mine,pm_hpgr_comminution_advancedores_mine,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,-3,,,,,,,,,,,,,
building_advancedores_mine,pmg_train_automation_building_advancedores_mine,pm_road_carts,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_train_automation_building_advancedores_mine,pm_rail_transport_mine,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,,,
building_advancedores_mine,pmg_train_automation_building_advancedores_mine,pm_multiway_transport_mine,labor_saving,construction_cost_very_high,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,
building_advancedores_mine,pmg_data_optimization_primary_sector,pm_manual_data_reporting_primary_sector,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_data_optimization_primary_sector,pm_manual_data_optimization_primary_sector,labor_saving,construction_cost_very_high,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_data_optimization_primary_sector,pm_digital_data_optimization_primary_sector,labor_saving,construction_cost_very_high,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_data_optimization_primary_sector,pm_digital_data_on_premises_primary_sector,labor_saving,construction_cost_very_high,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,-1,,,,,,,,,,,,,,,,
building_advancedores_mine,pmg_data_optimization_primary_sector,pm_internet_data_reporting_primary_sector,labor_saving,construction_cost_very_high,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,-3,,,,,,,,-1,,,,,,,,
building_aircraft_industry,pmg_civil_space_aircraft,pm_zeppelins_production,balance,construction_cost_very_high,,,,,-5,,,,,,,,50,,,,,,,,,,,,-5,,,-10,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_aircraft_industry,pmg_civil_space_aircraft,pm_civil_planes_production,balance,construction_cost_very_high,,,,,-20,,,,,,,,80,,,,,,,,,,,,-15,,,-25,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_aircraft_industry,pmg_civil_space_aircraft,pm_rocket_probes,balance,construction_cost_very_high,,,,,-15,,,,,,,,,,,,,,,,,,,,-10,,,-10,,,,,,,,,,,,,,,,,,,,,,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,
building_aircraft_industry,pmg_civil_space_aircraft,pm_rocket_satellites,balance,construction_cost_very_high,,,,-10,-15,,,,,,,,,,,,,,,,,,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,-25,,,,,,,,,,,,,,,,,-10,,,,-5,,,,,,40,,,,,,,,,,,,,,,
building_aircraft_industry,pmg_civil_space_aircraft,pm_rocket_spacecraft,balance,construction_cost_very_high,,,,-35,-15,,,,,,,,,,,,,,-10,,,,,,,,,-20,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,,,,,,,,,,,,-15,,,,,,70,,,,,,,,,,,,,,,
building_aircraft_industry,pmg_aeroplanes,pm_no_aeroplane_production,balance,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_aircraft_industry,pmg_aeroplanes,pm_aeroplane_production,balance,construction_cost_very_high,,45,,,,,,,,,,,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,
building_aircraft_industry,pmg_aeroplanes,pm_modern_warplanes_production,balance,construction_cost_very_high,,55,,,,,,-5,,,,,-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,-15,,,,,,,,,,,,,,,,,
building_aircraft_industry,pmg_aeroplanes,pm_supersonic_warplanes_production,balance,construction_cost_very_high,,75,,,,,,-10,,,,,-40,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,-20,,,,,,,,,,,,,,,,,
building_aircraft_industry,pmg_automation_building_aircraft_industry,pm_automation_disabled,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_aircraft_industry,pmg_automation_building_aircraft_industry,pm_assembly_lines_building_aircraft_industry,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,
building_aircraft_industry,pmg_automation_building_aircraft_industry,pm_advanced_assembly_lines_building_aircraft_industry,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,-3,,,,
building_aircraft_industry,pmg_automation_building_aircraft_industry,pm_robotic_building_aircraft_industry,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,-1,,,,-3,,,,,,,,,,,,,,,,,,,,,
building_aircraft_industry,pmg_automation_building_aircraft_industry,pm_iot_building_aircraft_industry,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,-1,,,,-3,,,,,,,,,,,,,-5,,,,,,,,
building_aircraft_industry,pmg_data_optimization_heavy_industry_algorithmic_dispatch_no_shopkeepers,pm_manual_data_reporting_heavy_industry,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_aircraft_industry,pmg_data_optimization_heavy_industry_algorithmic_dispatch_no_shopkeepers,pm_manual_data_optimization_heavy_industry,labor_saving,construction_cost_very_high,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_aircraft_industry,pmg_data_optimization_heavy_industry_algorithmic_dispatch_no_shopkeepers,pm_digital_data_optimization_heavy_industry,labor_saving,construction_cost_very_high,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_aircraft_industry,pmg_data_optimization_heavy_industry_algorithmic_dispatch_no_shopkeepers,pm_digital_data_on_premises_heavy_industry,labor_saving,construction_cost_very_high,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,-1,,,,,,,,,,,,,,,,
building_aircraft_industry,pmg_data_optimization_heavy_industry_algorithmic_dispatch_no_shopkeepers,pm_internet_data_reporting_heavy_industry_no_shopkeepers,labor_saving,construction_cost_very_high,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,-3,,,,,,,,-2,,,,,,,,
building_aircraft_industry,pmg_data_optimization_heavy_industry_algorithmic_dispatch_no_shopkeepers,pm_internet_data_algorithmic_dispatch_heavy_industry_no_shopkeepers,labor_saving,construction_cost_very_high,,,-6,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,-2,,,,,,,,-4,,,,,,,,
building_alloys_plant,pmg_alloys_process,pm_basic_smelting_process,upgrade,construction_cost_very_high,,,,60,,,,,,,,,,,,-5,,-35,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_alloys_process,pm_electric_arc_process_alloying,upgrade,construction_cost_very_high,,,,90,,,,,,,,,,,,-5,,-50,,-25,,,,-5,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_alloys_process,pm_advanced_alloying_techniques,upgrade,construction_cost_very_high,-10,,,130,,,,,,,,,,,,,,-55,,-25,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_alloys_process,pm_vacuum_arc_remelting,upgrade,construction_cost_very_high,-15,,,175,,,,,,,,,,,,,,-55,,-20,,,,-10,-10,,,,,,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_aluminiummaking_process,pm_no_aluminium_production,balance,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_aluminiummaking_process,pm_wohler_deville_process,balance,construction_cost_very_high,,,,-10,55,,,,,,-50,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,
building_alloys_plant,pmg_aluminiummaking_process,pm_hall_heroult_process,balance,construction_cost_very_high,-2,,,-15,80,,,,,,-40,,,,,,,,,,,,,-20,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,
building_alloys_plant,pmg_aluminiummaking_process,pm_electro-refining_process,balance,construction_cost_very_high,-5,,,-30,110,,,,,,-40,,,,,,,,,,,,,-20,-5,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_automation_building_commonalloys_plant,pm_automation_disabled,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_automation_building_commonalloys_plant,pm_watertube_boiler_building_commonalloys_plant,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,
building_alloys_plant,pmg_automation_building_commonalloys_plant,pm_rotary_valve_engine_building_commonalloys_plant,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,
building_alloys_plant,pmg_automation_building_commonalloys_plant,pm_advanced_assembly_lines_building_commonalloys_plant,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,-3,,,,
building_alloys_plant,pmg_automation_building_commonalloys_plant,pm_robotic_building_commonalloys_plant,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,-1,,,,-3,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_automation_building_commonalloys_plant,pm_iot_building_commonalloys_plant,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,-1,,,,-3,,,,,,,,,,,,,-5,,,,,,,,
building_alloys_plant,pmg_data_optimization_heavy_industry,pm_manual_data_reporting_heavy_industry,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_data_optimization_heavy_industry,pm_manual_data_optimization_heavy_industry,labor_saving,construction_cost_very_high,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_data_optimization_heavy_industry,pm_digital_data_optimization_heavy_industry,labor_saving,construction_cost_very_high,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_data_optimization_heavy_industry,pm_digital_data_on_premises_heavy_industry,labor_saving,construction_cost_very_high,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,-1,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_data_optimization_heavy_industry,pm_internet_data_reporting_heavy_industry,labor_saving,construction_cost_very_high,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,-3,,,,,,,,-2,,,,,,,,
building_alloys_plant,pmg_data_optimization_heavy_industry,pm_internet_data_optimization_heavy_industry,labor_saving,construction_cost_very_high,,,-2,,,,,,,,,-6,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,-4,,,,,,,,-5,,,,,,,,
building_arms_industry,pmg_firearms_manufacturing,pm_muskets,upgrade,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_firearms_manufacturing,pm_rifles,upgrade,construction_cost_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,-10,,,,,,,,,-5,,,,
building_arms_industry,pmg_firearms_manufacturing,pm_repeaters,upgrade,construction_cost_high,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,-20,,,,,,,,,-5,,,,
building_arms_industry,pmg_firearms_manufacturing,pm_bolt_action_rifles,upgrade,construction_cost_high,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,100,,,,-20,,,,,,,,,-15,,,,
building_arms_industry,pmg_firearms_manufacturing,pm_selective_automatic_rifles,upgrade,construction_cost_high,,,,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,120,,,,-20,,,,,,,,,-15,,,,
building_arms_industry,pmg_firearms_manufacturing,pm_assault_rifles,upgrade,construction_cost_high,,,,-10,-10,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,140,,,,-20,,,,,,,,,-10,,,,
building_arms_industry,pmg_automation_building_arms_industry,pm_automation_disabled,labor_saving,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_automation_building_arms_industry,pm_rotary_valve_engine_building_arms_industry,labor_saving,construction_cost_high,,,,,,,,,,,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_automation_building_arms_industry,pm_assembly_lines_building_arms_industry,labor_saving,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_automation_building_arms_industry,pm_advanced_assembly_lines_building_arms_industry,labor_saving,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,-3,,,,
building_arms_industry,pmg_data_optimization_heavy_industry_algorithmic_dispatch,pm_manual_data_reporting_heavy_industry,labor_saving,construction_cost_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_data_optimization_heavy_industry_algorithmic_dispatch,pm_manual_data_optimization_heavy_industry,labor_saving,construction_cost_high,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_data_optimization_heavy_industry_algorithmic_dispatch,pm_digital_data_optimization_heavy_industry,labor_saving,construction_cost_high,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_data_optimization_heavy_industry_algorithmic_dispatch,pm_digital_data_on_premises_heavy_industry,labor_saving,construction_cost_high,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,-1,,,,,,,,,,,,,,,,
building_arms_industry,pmg_data_optimization_heavy_industry_algorithmic_dispatch,pm_internet_data_reporting_heavy_industry,labor_saving,construction_cost_high,,,,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,-3,,,,,,,,-2,,,,,,,,
building_arms_industry,pmg_data_optimization_heavy_industry_algorithmic_dispatch,pm_internet_data_algorithmic_dispatch_heavy_industry,labor_saving,construction_cost_high,,,-6,,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,-2,,,,,,,,-4,,,,,,,,
building_art_academy,pmg_base_building_art_academy,pm_traditional_art,labor_saving,construction_cost_medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_art_academy,pmg_base_building_art_academy,pm_realist_art,labor_saving,construction_cost_medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_art_academy,pmg_base_building_art_academy,pm_photographic_art,labor_saving,construction_cost_medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,-8,,,,
building_art_academy,pmg_base_building_art_academy,pm_film_art,labor_saving,construction_cost_medium,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,
building_art_academy,pmg_base_building_art_academy,pm_pop_art,labor_saving,construction_cost_medium,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,
building_art_academy,pmg_base_building_art_academy,pm_digital_art,labor_saving,construction_cost_medium,,,,,,,,,,,,,,,,,,,-3,,,,,-5,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,
